categorie1,categorie2,categorie3,href
Argent,"Impôts, taxes et douanes",Demander une prise en charge des taxes et droits de douane,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/232/1/1
Argent,"Impôts, taxes et douanes",Demander une attestation d’imposition ou  de non imposition,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/223/1/1
Argent,"Impôts, taxes et douanes",Demander un dégrèvement d'impôts,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/219/1/1
Argent,"Impôts, taxes et douanes",S’acquitter des droits d’enregistrement et de timbres relatifs à un acte judiciaire ou extra-judiciaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/194/1/1
Argent,"Impôts, taxes et douanes",Demander une exonération quinquennale à la contribution foncière,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/197/1/1
Argent,"Impôts, taxes et douanes",Remplir une déclaration de taxe sur la valeur ajoutée (TVA),https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/147/1/1
Argent,"Impôts, taxes et douanes",Demander un quitus fiscal,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/165/1/1
Argent,"Impôts, taxes et douanes",Bénéficier de la réserve de retour en matière d'exportation temporaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1012/1/1
Argent,"Impôts, taxes et douanes",Comment obtenir un agrément de  manutentionnaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/863/1/1
Argent,"Impôts, taxes et douanes",Comment obtenir l’agrément de consignataire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/860/1/1
Argent,"Impôts, taxes et douanes",Comment devenir transitaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/854/1/1
Argent,"Impôts, taxes et douanes",S'acquitter de la taxe spéciale sur les voitures particulières des personnes morales,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/753/1/1
Argent,"Impôts, taxes et douanes",S'acquitter de  la taxe de plus-value immobilière,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/751/1/1
Argent,"Impôts, taxes et douanes",Enregistrer un marché administratif,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/749/1/1
Argent,"Impôts, taxes et douanes",Enregistrer un acte de vente d’un bien immeuble bâti ou non bâti,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/748/1/1
Argent,"Impôts, taxes et douanes",Enregistrer les mutations par décès d’immeubles ou de comptes bancaires.,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/747/1/1
Argent,"Impôts, taxes et douanes",Payer les droits d’enregistrement portant sur les mutations de véhicules importés.,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/746/1/1
